"RAILROAD","IYR","IMO","STATE","COUNTY","LOCOMI","MTMI","ysmi","TOTMI","EMPHRS","PASSMI","REVPASS","TYPRR","REGION","DUMMY","YEAR4","FRTRNMI","PASTRNMI","OTHERMI","CNTYCD","STCNTY","NARR1","NARR2","NARR3","NARRLEN",DUMMY1
"ARR ","16","03","02","ANCHORAGE           ","0","0","22431","52517","86105","983521","4310","2 ","8","","2016","23325","6761","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO MID WEEK PASSENGER TRAINS.","","","74","",
"ARR ","16","04","02","ANCHORAGE           ","0","0","33016","65338","138556","183956","1011","2 ","8","","2016","28851","3471","0","020","02C020","MANHOURS AND PASSENGER COUNTS ARE HIGHER DUE TO BECOMING PEAK SEASON","","","68","",
"ARR ","16","08","02","ANCHORAGE           ","0","0","28168","109967","110753","15782809","123531","2 ","8","","2016","29945","51854","0","020","02C020","PASSENGER MILES AND MANHOURS ARE HIGHER DUE TO PEAK OF PASSENGER SEASON.   DUE TO INTERNAL AUDIT AND"," DUPLICATE REPORT FOR AUGUST 2016.","","134","",
"PARN","16","01","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","3221","0","0","3 ","8","","2016","0","0","0","","","HOURS REFLECT OFFSEASON OPERATIONS","","","34","",
"PARN","16","02","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","3381","0","0","3 ","8","","2016","0","0","0","","","ONLY ADMIN STAFF CURRENTLY WORKING.","","","35","",
"PARN","16","03","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","5895","0","0","3 ","8","","2016","0","0","0","","","INCREASE IN HOURS REFLECTS START UP OF SEASONAL OPERATIONS.","","","59","",
"ARR ","16","07","02","ANCHORAGE           ","0","0","30516","109658","107402","16742753","131874","2 ","8","","2016","26310","52832","0","020","02C020","PASSENGER MILES AND MANHOURS ARE HIGHER DUE TO PEAK OF PASSENGER SEASON.","","","72","",
"PARN","16","04","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","8530","0","0","3 ","8","","2016","0","0","0","","","INCREASE IN HOURS REFLECTS RAMP UP TO SEASONAL OPERATIONS.","","","58","",
"PARN","16","05","02","SKAGWAY-HOONAH-ANGOO","0","0","0","6220","18057","1818755","60212","3 ","8","","2016","0","6220","0","","","HOURS, MILES AND PASSENGERS REFLECT RETURN OF PASSENGER SERVICE.","","","64","",
"PARN","16","06","02","SKAGWAY-HOONAH-ANGOO","0","0","0","10095","24010","3292456","101703","3 ","8","","2016","0","10095","0","","","INCREASES REFLECT THE ENTRANCE INTO THE HEART OF THE OPERATING SEASON.","","","70","",
"ARR ","16","05","02","ANCHORAGE           ","0","0","35573","98163","159533","6102265","45123","2 ","8","","2016","30847","31743","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO PASSENGER SEASON.","","","65","",
"ARR ","16","01","02","ANCHORAGE           ","0","0","20686","44312","80056","214560","875","2 ","8","","2016","19892","3734","0","020","02C020","MANHOURS AND PASSENGER COUNTS ARE LOWER DUE TO OFF SEASON","","","57","",
"APNC","16","06","19","APPANOOSE           ","0","0","29","268","540","0","0","6 ","6","","2016","239","0","0","007","19C007","","","","0","",
"IARR","16","06","19","HARDIN              ","0","0","0","175","192","0","0","3 ","6","","2016","175","0","0","083","19C083","","","","0","",
"CIC ","16","06","19","LINN                ","0","0","7354","7354","10818","0","0","3 ","6","","2016","0","0","0","113","19C113","","","","0","",
"IAIS","16","06","19","LINN                ","0","0","21836","87325","39726","0","0","2 ","6","","2016","65441","0","48","113","19C113","NO REPORTABLE INCIDENTS FOR JUNE 2016","","","37","",
"IANR","16","09","19","BUTLER              ","0","0","0","14479","17986","0","0","3 ","6","","2016","14479","0","0","023","19C023","","","","0","",
"BSVY","16","08","19","BOONE               ","0","0","30","997","2018","68795","4274","3 ","6","","2016","81","886","0","015","19C015","BOX 12 AND 16 ARE CORRECT","","","25","",
"IANR","16","08","19","BUTLER              ","0","0","0","16829","20324","0","0","3 ","6","","2016","16829","0","0","023","19C023","","","","0","",
"BSVY","16","06","19","BOONE               ","0","0","18","1048","2039","60888","5015","3 ","6","","2016","27","941","62","015","19C015","","","","0","",
"CIC ","16","07","19","LINN                ","0","0","7569","7569","12005","0","0","3 ","6","","2016","0","0","0","113","19C113","","","","0","",
"IANR","16","07","19","BUTLER              ","0","0","0","17277","19380","0","0","3 ","6","","2016","17277","0","0","023","19C023","","","","0","",
"CIC ","16","05","19","LINN                ","0","0","6933","6933","12914","0","0","3 ","6","","2016","0","0","0","113","19C113","55A HAS BEEN UPDATED","","","20","",
"CGIF","16","05","19","HARDIN              ","0","0","10","20","2052","0","0","3 ","6","","2016","10","0","0","083","19C083","","","","0","",
"CGIF","16","07","19","HARDIN              ","0","0","10","20","2027","0","0","3 ","6","","2016","10","0","0","083","19C083","","","","0","",
"BSVY","16","04","19","BOONE               ","0","0","10","196","2061","5082","231","3 ","6","","2016","72","110","4","015","19C015","BOX 12 AND 16 ARE CORRECT","","","25","",
"APNC","16","05","19","APPANOOSE           ","0","0","227","227","558","0","0","6 ","6","","2016","0","0","0","007","19C007","","","","0","",
"IANR","16","04","19","BUTLER              ","0","0","0","15783","17331","0","0","3 ","6","","2016","15783","0","0","023","19C023","","","","0","",
"IATR","16","08","19","CERRO GORDO         ","0","0","0","288","1230","0","0","3 ","6","","2016","288","0","0","033","19C033","","","","0","",
"ISRY","16","08","19","APPANOOSE           ","0","0","0","8","280","0","0","3 ","6","","2016","8","0","0","007","19C007","","","","0","",
"IATR","16","07","19","CERRO GORDO         ","0","0","0","286","1122","0","0","3 ","6","","2016","286","0","0","033","19C033","","","","0","",
"IARR","16","07","19","HARDIN              ","0","0","0","179","212","0","0","3 ","6","","2016","179","0","0","083","19C083","","","","0","",
"APNC","16","07","19","APPANOOSE           ","0","0","20","178","547","0","0","6 ","6","","2016","158","0","0","007","19C007","","","","0","",
"BSVY","16","10","19","BOONE               ","0","0","40","1198","2176","145335","9484","3 ","6","","2016","36","1122","0","015","19C015","BOX 12 AND 16 ARE CORRECT, NUMBERS ARE HIGH DUE TO FALL COLORS AND PUMPKIN TRAINS","","","81","",
"IAIS","16","08","19","LINN                ","0","0","23546","92084","41976","0","0","2 ","6","","2016","68346","0","192","113","19C113","","","","0","",
"CIC ","16","08","19","LINN                ","0","0","7906","7906","13328","0","0","3 ","6","","2016","0","0","0","113","19C113","","","","0","",
"IATR","16","10","19","CERRO GORDO         ","0","0","0","373","1218","0","0","3 ","6","","2016","373","0","0","033","19C033","","","","0","",
"ISRY","16","10","19","APPANOOSE           ","0","0","0","198","574","0","0","3 ","6","","2016","198","0","0","007","19C007","","","","0","",
"IARR","16","11","19","HARDIN              ","0","0","0","160","175","0","0","3 ","6","","2016","160","0","0","083","19C083","","","","0","",
"KEOK","16","11","19","LEE                 ","0","0","0","0","0","0","0","6 ","6","","2016","0","0","0","111","19C111","","","","0","",
"IATR","16","11","19","CERRO GORDO         ","0","0","0","330","949","0","0","3 ","6","","2016","330","0","0","033","19C033","","","","0","",
"ISRY","16","11","19","APPANOOSE           ","0","0","0","215","424","0","0","3 ","6","","2016","215","0","0","007","19C007","","","","0","",
"IAIS","16","11","19","LINN                ","0","0","21420","84920","37980","63917","9131","2 ","6","","2016","63194","210","96","113","19C113","","","","0","",
"CIC ","16","11","19","LINN                ","0","0","7236","7236","11948","0","0","3 ","6","","2016","0","0","0","113","19C113","CORRECTED FORM 6180.57 #46 TO REFLECT A FIRST AID CASE NOT INJURED.","","","67","",
"KEOK","16","10","19","LEE                 ","0","0","0","0","0","0","0","6 ","6","","2016","0","0","0","111","19C111","","","","0","",
"IANR","16","11","19","BUTLER              ","0","0","0","16774","16352","0","0","3 ","6","","2016","16774","0","0","023","19C023","","","","0","",
"BSVY","16","09","19","BOONE               ","0","0","36","1017","2488","89048","16480","3 ","6","","2016","54","927","0","015","19C015","BOX 12 AND 16 ARE CORRECT NUMBERS HIGH DUE TO CHILDENS EVENT DAY OUT WITH THOMAS","","","80","",
"MAUP","16","08","12","MANATEE             ","0","0","312","312","430","0","0","3 ","3","","2016","0","0","0","081","12C081","","","","0","",
"ARR ","16","06","02","ANCHORAGE           ","0","0","30059","109428","110457","15308214","116617","2 ","8","","2016","28695","50674","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO PASSENGER SEASON.","","","65","",
"ARR ","16","09","02","ANCHORAGE           ","0","0","41519","101519","106477","8235459","61752","2 ","8","","2016","25489","34511","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE SLIGHTLY LOWER DUE TO PASSENGER SEASON ENDING IN THE MIDDLE OF SEP","TEMBER.","","107","",
"ARR ","16","10","02","ANCHORAGE           ","0","0","21918","52914","136346","486563","3210","2 ","8","","2016","26881","4115","0","020","02C020","PASSENGER NUMBERS ARE LOWER DUE TO PASSENGER SEASON NOT IN SESSION.","","","67","",
"ARR ","16","11","02","ANCHORAGE           ","0","0","20631","46849","75182","221006","910","2 ","8","","2016","23196","3022","0","020","02C020","MANHOURS AND PASSENGER COUNTS ARE LOWER DUE TO OFF SEASON","","","57","",
"PARN","16","08","02","SKAGWAY-HOONAH-ANGOO","0","0","0","10620","25989","3100089","105743","3 ","8","","2016","0","10620","0","","","HOURS AND MILES REFLECT THE HEART OF THE OPERATING SEASON.","","","58","",
"PARN","16","09","02","SKAGWAY-HOONAH-ANGOO","0","0","0","5376","19868","1978792","46812","3 ","8","","2016","0","5376","0","","","DECREASE IN MILES, HOURS AND PASSENGERS REFLECTS THE ENDING OF THE PASSENGER SEASON.","","","84","",
"PARN","16","07","02","SKAGWAY-HOONAH-ANGOO","0","0","0","11612","24987","3401306","100966","3 ","8","","2016","0","11612","0","","","HOURS AND MILES REFLEC THE HEART OF THE OPERATING SEASON","","","56","",
"PARN","16","10","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","12062","0","0","3 ","8","","2016","0","0","0","","","REDUCTION IN HOURS AND LACK OF TRAINS ILLUSTRATES WINDING DOWN OF SEASONAL OPERATIONS.","","","86","",
"PARN","16","11","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","2997","0","0","3 ","8","","2016","0","0","0","","","DECREASE IN HOURS REFLECTS END OF SEASONAL OPERATIONS.","","","54","",
"PARN","16","12","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","3172","0","0","3 ","8","","2016","0","0","0","","","ONLY ADMINISTRATIVE STAFF CURRENTLY WORKING.","","","44","",
"CSMX","16","01","01","SHELBY              ","0","0","0","0","0","0","0","3 ","3","","2016","0","0","0","117","01C117","VENUE CLOSED","","","12","",
"CSMX","16","02","01","SHELBY              ","0","0","1","1","0","0","0","3 ","3","","2016","0","0","0","117","01C117","SOME INHOUSE TRAINING","","","21","",
"CSMX","16","03","01","SHELBY              ","0","0","1","73","104","10855","1757","3 ","3","","2016","0","72","0","117","01C117","`OPENING DAY` 2016, `COTTONTAIL EXPRESS` EVENT OCCURRED","","","55","",
"CSMX","16","04","01","SHELBY              ","0","0","3","287","306","48924","11601","3 ","3","","2016","0","284","0","117","01C117","`DAY OUT WITH THOMAS` EVENT OCCURRED","","","36","",
"APPX","16","12","01","SHELBY              ","0","0","16","16","599","0","0","3 ","3","","2016","0","0","0","117","01C117","","","","0","",
"IAIS","16","07","19","LINN                ","0","0","22301","86696","40441","0","0","2 ","6","","2016","64347","0","48","113","19C113","","","","0","",
"IARR","16","09","19","HARDIN              ","0","0","0","175","192","0","0","3 ","6","","2016","175","0","0","083","19C083","","","","0","",
"IAIS","16","02","19","LINN                ","0","0","22568","92175","40589","0","0","2 ","6","","2016","69223","0","384","113","19C113","","","","0","",
"CIC ","16","04","19","LINN                ","0","0","7067","7067","13033","0","0","3 ","6","","2016","0","0","0","113","19C113","","","","0","",
"CIC ","16","03","19","LINN                ","0","0","7470","7470","13734","0","0","3 ","6","","2016","0","0","0","113","19C113","","","","0","",
"BSVY","16","02","19","BOONE               ","0","0","7","1073","1827","5472","256","3 ","6","","2016","72","994","0","015","19C015","BOX 12 AND 16 ARE CORRECT. RAN 4 TRAINS FOR VALENTINE'S DAY.","","","60","",
"IATR","16","02","19","CERRO GORDO         ","0","0","0","369","821","0","0","3 ","6","","2016","369","0","0","033","19C033","","","","0","",
"CGIF","16","02","19","HARDIN              ","0","0","3","6","2170","0","0","3 ","6","","2016","3","0","0","083","19C083","","","","0","",
"APNC","16","02","19","APPANOOSE           ","0","0","19","245","514","0","0","6 ","6","","2016","226","0","0","007","19C007","","","","0","",
"BSVY","16","03","19","BOONE               ","0","0","8","117","2018","210","21","3 ","6","","2016","90","10","9","015","19C015","BOX 12 AND 16 ARE CORRECT","","","25","",
"APNC","16","04","19","APPANOOSE           ","0","0","21","246","523","0","0","6 ","6","","2016","225","0","0","007","19C007","","","","0","",
"IAIS","16","03","19","LINN                ","0","0","25914","101296","42716","0","0","2 ","6","","2016","74950","0","432","113","19C113","","","","0","",
"APNC","16","03","19","APPANOOSE           ","0","0","26","246","796","0","0","6 ","6","","2016","220","0","0","007","19C007","","","","0","",
"IATR","16","03","19","CERRO GORDO         ","0","0","0","337","859","0","0","3 ","6","","2016","337","0","0","033","19C033","","","","0","",
"IARR","16","03","19","HARDIN              ","0","0","0","263","293","0","0","3 ","6","","2016","263","0","0","083","19C083","","","","0","",
"IAIS","16","10","19","LINN                ","0","0","22395","85059","39282","62755","8965","2 ","6","","2016","62400","168","96","113","19C113","","","","0","",
"IARR","16","05","19","HARDIN              ","0","0","0","204","209","0","0","3 ","6","","2016","204","0","0","083","19C083","","","","0","",
"CGIF","16","06","19","HARDIN              ","0","0","10","20","2022","0","0","3 ","6","","2016","10","0","0","083","19C083","","","","0","",
"IANR","16","06","19","BUTLER              ","0","0","0","15433","20490","55836","1692","3 ","6","","2016","15400","33","0","023","19C023","THE IANR OPERATED A CELEBRATION PASSENGER TRAIN `100TH ANNIVERSARY FOR FOREST CITY COOP`. THE TRAIN ","MADE 3 ROUND TRIPS BETWEEN FOREST CITY AND MILLER (TOTAL OF 11 MILES EACH)","","174","",
"IATR","16","05","19","CERRO GORDO         ","0","0","0","355","952","0","0","3 ","6","","2016","355","0","0","033","19C033","","","","0","",
"KEOK","16","05","19","LEE                 ","0","0","0","0","0","0","0","6 ","6","","2016","0","0","0","111","19C111","","","","0","",
"IATR","16","06","19","CERRO GORDO         ","0","0","0","231","959","0","0","3 ","6","","2016","231","0","0","033","19C033","","","","0","",
"IANR","16","05","19","BUTLER              ","0","0","0","15216","17777","0","0","3 ","6","","2016","15216","0","0","023","19C023","","","","0","",
"IAIS","16","05","19","LINN                ","0","0","21333","83834","37997","0","0","2 ","6","","2016","62117","0","384","113","19C113","","","","0","",
"ABS ","16","11","01","TUSCALOOSA          ","0","0","1446","6842","7274","0","0","3 ","3","","2016","5396","0","0","125","01C125","","","","0","",
"ABS ","16","12","01","TUSCALOOSA          ","0","0","732","6130","6665","0","0","3 ","3","","2016","5398","0","0","125","01C125","","","","0","",
"HMCR","16","12","01","MADISON             ","0","0","5","473","802","0","0","3 ","3","","2016","468","0","0","089","01C089","","","","0","",
