"RAILROAD","IYR","IMO","STATE","COUNTY","LOCOMI","MTMI","ysmi","TOTMI","EMPHRS","PASSMI","REVPASS","TYPRR","REGION","DUMMY","YEAR4","FRTRNMI","PASTRNMI","OTHERMI","CNTYCD","STCNTY","NARR1","NARR2","NARR3","NARRLEN",DUMMY1
"CGIF","17","02","19","HARDIN              ","0","0","7","14","2047","0","0","3 ","6","","2017","7","0","0","083","19C083","","","","0","",
"ARR ","17","01","02","ANCHORAGE           ","0","0","20588","43863","76067","326338","1396","2 ","8","","2017","19185","4090","0","020","02C020","MANHOURS AND PASSENGER COUNTS ARE LOWER DUE TO OFF SEASON","","","57","",
"ARR ","17","03","02","ANCHORAGE           ","0","0","34695","63370","127152","789434","3109","2 ","8","","2017","20743","7932","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO MID WEEK PASSENGER TRAINS.","","","74","",
"ARR ","17","05","02","ANCHORAGE           ","0","0","25225","82184","103939","6720443","47510","2 ","8","","2017","25629","31330","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO MID WEEK PASSENGER TRAINS.","","","74","",
"PARN","17","03","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","5972","0","0","3 ","8","","2017","0","0","0","","","INCREASE IN HOURS REFLECTS START UP OF SEASONAL OPERATIONS.","","","59","",
"PARN","17","01","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","3290","0","0","3 ","8","","2017","0","0","0","","","HOURS REFLECT OFFSEASON OPERATIONS","","","34","",
"ATN ","17","01","01","ETOWAH              ","0","0","1456","4877","4069","0","0","3 ","3","","2017","3421","0","0","055","01C055","","","","0","",
"CSX ","17","03","12","DUVAL               ","0","0","1175371","7090908","4208046","0","0","1 ","3","","2017","5915537","0","0","031","12C031","","","","0","",
"NARZ","17","04","01","MADISON             ","0","0","2","92","0","6693","1382","3 ","3","","2017","0","80","10","089","01C089","14.  WORK TRAINS MILES.
15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.
16,17.  START OF 2017 SEASON; ","EASTER TRAINS AND ANNUAL SCHOOL FIELD TRIPS.","","144","",
"ABS ","17","01","01","TUSCALOOSA          ","0","0","1336","7347","7430","0","0","3 ","3","","2017","6011","0","0","125","01C125","","","","0","",
