Code,Name
AA,Ann Arbor Railroad [AA]
AB,Akron Barberton Cluster Railway Company [AB]
ABB,Akron & Barberton Belt Railroad Co. [ABB]
ABR,"ATHENS LINE, LLC [ABR]"
ABS,Alabama Southern Railroad [ABS]
ABWR,"Alabama Warrior Railway, LLC [ABWR]"
ACBT,Atlantic County Board Of Transportation [ACBT]
ACC,Allied Chemical Co. [ACC]
ACCZ,Arcadia Chemical Corporation [ACCZ]
ACEX,Altamont Commuter Express Authority [ACEX]
ACEZ,Armor Co-Op Elevator [ACEZ]
ACJR,"Ashtubula, Carson & Jefferson Railroad [ACJR]"
ACRC,"Andalusia & Conecuh Railroad Company, Incorporated [ACRC]"
ACTZ,AEPX Coal Terminal [ACTZ]
ACWR,"Aberdeen, Carolina & Western Railroad [ACWR]"
ACZ,Axtell Coop. [ACZ]
ADBF,Adrian & Blissfield Railroad [ADBF]
ADCX,Adirondack Scenic Railroad [ADCX]
ADEZ,Addison Elevator Co. [ADEZ]
ADN,"Ashley, Drew & Northern Railway Company [ADN]"
AEC,Atlantic & East Carolina Railway [AEC]
AEPZ,AEP Coal Terminal [AEPZ]
AERC,Albany & Eastern Railroad Company [AERC]
AFBX,Arnold Air Force Base [AFBX]
AFLR,Alabama & Florida Railroad [AFLR]
AG,Abbeville-Grimes Rwy Co [AG]
AGCR,Alamo Gulf Coast Railroad Company [AGCR]
AGCZ,American Greeting Card [AGCZ]
AGR,Alabama & Gulf Coast Railway LLC [AGR]
AGRD,"A&G Railroad, LLC [AGRD]"
AGS,ALABAMA GREAT SOUTHERN RAILROAD [AGS]
AIKR,"Aiken Railway Company, LLC [AIKR]"
AIRR,Adams Industries Railroad [AIRR]
AIZ,Argo Industry [AIZ]
AKDN,Acadiana Railway Company [AKDN]
AKMD,"ARKANSAS MIDLAND RAILROAD COMPANY, INC. [AKMD]"
ALAB,ALABAMA RAILROAD [ALAB]
ALBZ,Alois Box [ALBZ]
ALE,Alabama Export Railroad [ALE]
ALLN,Allentown and Auburn Railroad [ALLN]
ALM,Arkansas Louisiana & Mississippi Railroad Company [ALM]
ALPZ,Allied Paper Company [ALPZ]
ALQS,Aliquippa & Southern Railroad Company [ALQS]
ALS,Alton & Southern Railway [ALS]
ALT,Airlake Terminal Railway Company [ALT]
AM,Arkansas & Missouri Railroad Company [AM]
AMC,Amador Central Railroad [AMC]
AMCY,American Cynamid [AMCY]
AMCZ,AMC Chemical [AMCZ]
AMHR,"AMHEARST RAILROAD INDUSTRIES, INC. [AMHR]"
AMIN,Ayershire Mine [AMIN]
AMKZ,AMKZ Industry [AMKZ]
AMMZ,American Mineral [AMMZ]
AMRZ,American Maize [AMRZ]
AMZ,Allied Materials [AMZ]
AN,AN Railway LLC [AN]
ANR,Angelina & Neches River Railroad Company [ANR]
ANRG,ALTEX ENERGY LTD [ANRG]
AO,Appalachian & Ohio Railroad [AO]
AOCZ,American Oil Co. [AOCZ]
AOEX,American Orient Express [AOEX]
AOK,Arkansas-Oklahoma Railroad Inc. [AOK]
AOR,Aliquippa & Ohio River Railroad Company [AOR]
AOSX,"Age of Steam, LLC [AOSX]"
AOSZ,A. O. Smith Industries [AOSZ]
APA,Apache Railway Company [APA]
APD,Albany Port District Railroad [APD]
APPX,APPALACHIAN RAILCAR SERVICES [APPX]
APR,Alberta Prairie Railway [APR]
APRR,Albany Port Railroad [APRR]
APRX,Alanson And Petosky Railroad [APRX]
APZ,Air Pack [APZ]
AR,Aberdeen & Rockfish Railroad Company [AR]
ARA,Arcade & Attica Railroad Corporation [ARA]
ARC,Alexander Railroad Company [ARC]
ARFT,Astoria Riverfront Trolley [ARFT]
ARPA,Astoria Railroad Preservation Association [ARPA]
